id_empresa,periodo,id_sector,sector_desc,gastos_totales,gasto_gestion_amb,realiza_inv_red_emision_aire,realiza_inv_ahorro_agua,realiza_inv_inst_med_agua,realiza_inv_disp_desechos,realiza_inv_protec_suelo,realiza_inv_evita_ruido_vibra,realiza_inv_energia_limp,realiza_otras_inv_amb,realiza_gasto_red_emision_aire,realiza_gasto_ahorro_agua,realiza_gasto_inst_med_agua,realiza_gasto_disp_desechos,realiza_gasto_protec_suelo,realiza_gasto_evita_ruido_vibra,realiza_gasto_terceros_amb,realiza_gasto_energia_limp,realiza_otros_gastos_amb
12366,2020,H1,auxiliares del transporte,136971770,1908989,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,0,1
10017,2020,H1,auxiliares del transporte,136971770,1908989,0,0,0,0,0,0,0,0,1,1,0,1,0,0,1,0,0
12283,2020,H1,auxiliares del transporte,136971771,1908990,0,1,1,1,0,0,0,0,0,1,1,1,0,0,0,0,0
14588,2020,H1,auxiliares del transporte,32549555,760566,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0
12790,2020,H1,auxiliares del transporte,27354483,651317,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0
18195,2020,H1,auxiliares del transporte,15846189,606237,0,0,0,0,0,0,0,0,1,1,1,1,1,0,1,0,1
13646,2020,H1,auxiliares del transporte,93854957,495574,0,1,0,1,0,0,0,0,0,0,0,1,0,0,1,0,1
15093,2020,H1,auxiliares del transporte,14758560,489657,1,0,0,0,1,0,0,0,1,1,1,1,1,1,1,0,0
13350,2020,H1,auxiliares del transporte,215933508,488764,0,0,0,0,0,0,0,1,1,1,0,1,0,0,1,0,0
10210,2020,H1,auxiliares del transporte,22938506,473211,0,0,0,0,0,0,0,0,1,1,0,1,0,0,1,0,0
15073,2020,H1,auxiliares del transporte,39220103,430665,0,1,0,0,0,0,0,1,1,1,0,1,0,1,1,0,0
10436,2020,H1,auxiliares del transporte,55348234,417347,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0
15102,2020,H1,auxiliares del transporte,8948713,407140,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0
18513,2020,H1,auxiliares del transporte,10862696,376394,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0
18156,2020,H1,auxiliares del transporte,18584344,343240,0,0,0,0,0,0,0,0,1,1,1,1,1,0,1,0,0
18483,2020,H1,auxiliares del transporte,118859276,338401,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0
15074,2020,H1,auxiliares del transporte,73025387,306266,0,0,0,0,0,0,0,1,1,1,0,1,1,1,1,0,0
10273,2020,H1,auxiliares del transporte,24964465,303325,0,0,0,0,0,0,0,1,1,1,0,1,1,0,1,0,0
17974,2020,H1,auxiliares del transporte,28695691,276438,0,0,0,0,0,0,0,0,1,1,0,1,0,0,1,0,0
14253,2020,H1,auxiliares del transporte,22632157,264000,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0
13349,2020,H1,auxiliares del transporte,10181803,263894,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
14683,2020,H1,auxiliares del transporte,23400253,248328,1,0,0,0,1,0,0,0,0,1,0,1,1,0,0,0,0
19789,2020,H1,auxiliares del transporte,14241843,221246,1,0,0,1,1,0,0,0,1,1,0,1,1,0,1,0,0
19708,2020,H1,auxiliares del transporte,2399064,200000,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0
10429,2020,H1,auxiliares del transporte,51937915,179079,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
13233,2020,H1,auxiliares del transporte,67401151,147975,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0
11491,2020,H1,auxiliares del transporte,33325312,135238,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0
18282,2020,H1,auxiliares del transporte,32290560,131351,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0
14582,2020,H1,auxiliares del transporte,89187830,116882,0,1,0,0,0,0,0,0,1,1,0,1,1,1,1,0,1
14228,2020,H1,auxiliares del transporte,106354880,112000,1,1,1,1,1,0,0,0,1,1,1,1,1,0,1,0,0
18385,2020,H1,auxiliares del transporte,75787203,100511,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0
11830,2020,H1,auxiliares del transporte,18813821,99849,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0
10430,2020,H1,auxiliares del transporte,57321514,98000,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
10423,2020,H1,auxiliares del transporte,11151062,96487,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
10506,2020,H1,auxiliares del transporte,16511075,96320,1,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0
18044,2020,H1,auxiliares del transporte,5044727,89523,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0
15088,2020,H1,auxiliares del transporte,2882064,70000,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
10494,2020,H1,auxiliares del transporte,41943924,69850,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1
12429,2020,H1,auxiliares del transporte,31812053,67699,0,0,0,0,0,0,0,0,1,1,1,1,1,0,1,0,0
10439,2020,H1,auxiliares del transporte,36783831,65246,0,0,0,0,0,0,0,0,1,1,0,1,0,0,1,1,0
10444,2020,H1,auxiliares del transporte,45154156,62604,0,1,0,1,0,0,0,0,0,1,0,1,0,0,1,0,0
13878,2020,H1,auxiliares del transporte,14317945,62400,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0
18393,2020,H1,auxiliares del transporte,2754888,62400,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0
18989,2020,H1,auxiliares del transporte,7822056,59011,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0
10433,2020,H1,auxiliares del transporte,11406978,59007,0,1,0,1,0,0,0,0,0,1,0,1,0,1,1,0,0
15181,2020,H1,auxiliares del transporte,2338825,55080,1,1,1,1,1,1,0,0,1,1,1,1,1,1,1,0,0
19920,2020,H1,auxiliares del transporte,90273866,50500,1,1,1,1,0,0,0,0,1,1,0,1,0,0,1,0,0
11902,2020,H1,auxiliares del transporte,4583460,50003,0,0,0,0,0,0,0,0,0,1,0,1,0,1,1,0,1
10018,2020,H1,auxiliares del transporte,4564960,44310,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
14445,2020,H1,auxiliares del transporte,4497156,43637,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
18036,2020,H1,auxiliares del transporte,3111407,42270,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0
14601,2020,H1,auxiliares del transporte,23820302,42000,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0
18438,2020,H1,auxiliares del transporte,20860757,40000,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
13854,2020,H1,auxiliares del transporte,50981158,38719,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,1
13041,2020,H1,auxiliares del transporte,9758752,37793,1,0,0,0,0,0,1,1,1,0,0,1,0,0,1,0,1
10213,2020,H1,auxiliares del transporte,17410596,36632,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0
18007,2020,H1,auxiliares del transporte,102144199,30849,0,1,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0
14988,2020,H1,auxiliares del transporte,1975370,30121,0,0,0,0,0,0,0,0,0,1,0,1,0,1,1,0,0
18469,2020,H1,auxiliares del transporte,2885235,29782,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
10409,2020,H1,auxiliares del transporte,49713995,29319,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,1,0
13581,2020,H1,auxiliares del transporte,18675580,27834,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,1
10500,2020,H1,auxiliares del transporte,36949528,25000,0,1,0,1,0,0,0,1,0,1,0,1,0,0,0,0,0
10450,2020,H1,auxiliares del transporte,21591091,24948,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
18534,2020,H1,auxiliares del transporte,12002388,24395,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
14584,2020,H1,auxiliares del transporte,15759174,22840,0,0,0,0,1,1,0,0,0,0,0,1,0,1,1,0,0
18920,2020,H1,auxiliares del transporte,108282014,22809,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
10187,2020,H1,auxiliares del transporte,10902915,22000,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0
15725,2020,H1,auxiliares del transporte,2712931,21709,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
11901,2020,H1,auxiliares del transporte,73732579,21430,0,1,0,1,0,1,0,1,0,1,0,1,0,1,1,0,1
10516,2020,H1,auxiliares del transporte,12506980,20000,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0
15075,2020,H1,auxiliares del transporte,16888874,19845,0,0,0,0,0,0,0,0,1,0,0,1,1,1,0,0,0
14617,2020,H1,auxiliares del transporte,10491132,19503,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0
18323,2020,H1,auxiliares del transporte,7383972,18978,0,0,0,0,0,0,0,0,1,1,0,1,0,0,1,0,0
18691,2020,H1,auxiliares del transporte,5144603,17905,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0
13559,2020,H1,auxiliares del transporte,7527596,17714,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,1
18031,2020,H1,auxiliares del transporte,7129956,17513,1,0,0,0,0,0,1,0,1,0,0,1,0,0,1,0,1
18286,2020,H1,auxiliares del transporte,8485395,15822,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0
13000,2020,H1,auxiliares del transporte,116442720,15497,0,1,0,1,1,1,0,0,0,0,0,1,1,1,1,0,0
10497,2020,H1,auxiliares del transporte,14002096,12284,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
14938,2020,H1,auxiliares del transporte,3215849,12000,0,1,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0
18482,2020,H1,auxiliares del transporte,13587982,11962,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
10425,2020,H1,auxiliares del transporte,11181336,11500,0,1,0,1,1,0,0,0,0,1,0,1,0,0,1,0,0
10453,2020,H1,auxiliares del transporte,780644684,11363,0,1,0,1,1,0,0,0,0,1,0,1,1,0,0,0,0
