id_empresa,periodo,id_sector,sector_desc,gastos_totales,gasto_gestion_amb,contrata_personal_amb,realiza_inv_red_emision_aire,realiza_inv_ahorro_agua,realiza_inv_inst_med_agua,realiza_inv_disp_desechos,realiza_inv_protec_suelo,realiza_inv_evita_ruido_vibra,realiza_inv_energia_limp,realiza_otras_inv_amb,realiza_gasto_red_emision_aire,realiza_gasto_ahorro_agua,realiza_gasto_inst_med_agua,realiza_gasto_disp_desechos,realiza_gasto_protec_suelo,realiza_gasto_evita_ruido_vibra,realiza_gasto_terceros_amb,realiza_gasto_energia_limp,realiza_otros_gastos_amb
10430,2022,H1,auxiliares del transporte,47609563,293768,1,0,0,1,1,1,0,0,0,0,0,0,1,0,0,1,0,0
10429,2022,H1,auxiliares del transporte,47609563,293768,0,0,0,1,0,1,0,0,1,1,1,0,1,0,1,1,0,1
18513,2022,H1,auxiliares del transporte,47609563,293768,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
13853,2022,H1,auxiliares del transporte,29336128,139752,0,0,0,0,0,0,0,0,0,1,0,0,1,1,1,1,0,0
15179,2022,H1,auxiliares del transporte,29336128,139752,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0
10439,2022,H1,auxiliares del transporte,29336128,139752,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0
14582,2022,H1,auxiliares del transporte,128199754,1954883,1,0,0,0,0,0,0,0,0,1,1,1,1,1,0,1,0,0
12366,2022,H1,auxiliares del transporte,128199754,1954883,1,0,0,0,0,0,0,0,0,1,1,0,1,1,0,1,0,1
10017,2022,H1,auxiliares del transporte,128199754,1954883,1,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,0,0
14588,2022,H1,auxiliares del transporte,442733489,1339411,0,0,0,0,0,0,0,0,0,1,1,0,1,1,0,0,0,0
12790,2022,H1,auxiliares del transporte,442733489,1339411,1,0,0,0,0,0,0,0,0,0,1,0,1,1,1,1,1,0
12283,2022,H1,auxiliares del transporte,442733489,1339411,1,0,0,0,0,0,0,0,0,1,1,1,1,0,0,1,1,0
