fecha,nuevos_casos,total_casos
6/03/2020,1,1
7/03/2020,0,1
8/03/2020,0,1
9/03/2020,2,3
10/03/2020,0,3
11/03/2020,6,9
12/03/2020,4,13
13/03/2020,3,16
14/03/2020,8,24
15/03/2020,21,45
16/03/2020,12,57
17/03/2020,18,75
18/03/2020,27,102
19/03/2020,26,128
20/03/2020,47,175
21/03/2020,35,210
22/03/2020,30,240
23/03/2020,66,306
24/03/2020,113,419
25/03/2020,62,481
26/03/2020,10,491
27/03/2020,48,539
28/03/2020,69,608
29/03/2020,94,702
30/03/2020,96,798
31/03/2020,108,906
1/04/2020,159,1065
2/04/2020,96,1161
3/04/2020,106,1267
4/04/2020,106,1267
5/04/2020,79,1485
6/04/2020,94,1579
7/04/2020,201,1780
8/04/2020,274,2054
9/04/2020,169,2223
10/04/2020,250,2473
11/04/2020,236,2709
12/04/2020,67,2776
13/04/2020,76,2852
14/04/2020,127,2979
15/04/2020,126,3105
16/04/2020,128,3233
17/04/2020,206,3439
18/04/2020,182,3621
19/04/2020,171,3792
20/04/2020,185,3977
21/04/2020,172,4149
22/04/2020,207,4356
23/04/2020,205,4561
24/04/2020,320,4881
25/04/2020,261,5142
26/04/2020,237,5379
27/04/2020,218,5597
28/04/2020,352,5949
29/04/2020,262,6211
30/04/2020,296,6507
1/05/2020,499,7006
2/05/2020,279,7285
3/05/2020,383,7668
4/05/2020,305,7973
5/05/2020,640,8613
6/05/2020,346,8959
7/05/2020,497,9456
8/05/2020,595,10051
9/05/2020,444,10495
10/05/2020,568,11063
11/05/2020,550,11613
12/05/2020,659,12272
13/05/2020,658,12930
14/05/2020,680,13610
15/05/2020,606,14216
16/05/2020,723,14939
17/05/2020,635,15574
18/05/2020,721,16295
19/05/2020,640,16935
20/05/2020,752,17687
21/05/2020,643,18330
22/05/2020,801,19131
23/05/2020,1046,20177
24/05/2020,998,21175
25/05/2020,806,21981
26/05/2020,1022,23003
27/05/2020,1101,24104
28/05/2020,1262,25366
29/05/2020,1322,26688
30/05/2020,1548,28236
31/05/2020,1147,29383
1/06/2020,1110,30493
2/06/2020,1340,31833
3/06/2020,1521,33354
4/06/2020,1766,35120
5/06/2020,1515,36635
6/06/2020,1392,38027
7/06/2020,1209,39236
8/06/2020,1483,40719
9/06/2020,1359,42078
10/06/2020,1604,43682
11/06/2020,1530,45212
12/06/2020,1646,46858
13/06/2020,1888,48746
14/06/2020,2193,50939
15/06/2020,2124,53063
16/06/2020,1868,54931
17/06/2020,2115,57046
18/06/2020,3171,60217
19/06/2020,3059,63276
20/06/2020,2357,65633
21/06/2020,3019,68652
22/06/2020,2531,71183
23/06/2020,2389,73572
24/06/2020,3541,77113
25/06/2020,3486,80599
26/06/2020,3843,84442
27/06/2020,4149,88591
28/06/2020,3178,91769
29/06/2020,3274,95043
30/06/2020,2803,97846
1/07/2020,4163,102009
2/07/2020,4101,106110
3/07/2020,3395,109505
4/07/2020,3884,113389
5/07/2020,3721,117110
6/07/2020,3171,120281
7/07/2020,4213,124494
8/07/2020,4144,128638
9/07/2020,5335,133973
10/07/2020,6803,140776
11/07/2020,4586,145362
12/07/2020,5083,150445
13/07/2020,3832,154277
14/07/2020,5621,159898
15/07/2020,5271,165169
16/07/2020,8037,173206
17/07/2020,8934,182140
18/07/2020,8560,190700
19/07/2020,6578,197278
20/07/2020,6727,204005
21/07/2020,7033,211038
22/07/2020,7390,218428
23/07/2020,7945,226373
24/07/2020,7168,233541
25/07/2020,7254,240795
26/07/2020,8181,248976
27/07/2020,8125,257101
28/07/2020,10284,267385
29/07/2020,8670,276055
30/07/2020,9965,286020
31/07/2020,9488,295508
1/08/2020,10673,306181
2/08/2020,11470,317651
3/08/2020,10199,327850
4/08/2020,7129,334979
5/08/2020,10735,345714
6/08/2020,11996,357710
7/08/2020,9486,367196
8/08/2020,9674,376870
9/08/2020,10611,387481
10/08/2020,10142,397623
11/08/2020,12830,410453
12/08/2020,12066,422519
13/08/2020,11286,433805
14/08/2020,11306,445111
15/08/2020,11578,456689
16/08/2020,11643,468332
17/08/2020,8328,476660
18/08/2020,12462,489122
19/08/2020,13056,502178
20/08/2020,11541,513719
21/08/2020,8419,522138
22/08/2020,10965,533103
23/08/2020,8044,541147
24/08/2020,10549,551696
25/08/2020,10432,562128
26/08/2020,10142,572270
27/08/2020,9752,582022
28/08/2020,8498,590520
29/08/2020,9394,599914
30/08/2020,8024,607938
31/08/2020,7230,615168
1/09/2020,8901,624069
2/09/2020,9270,633339
3/09/2020,8235,641574
4/09/2020,8488,650062
5/09/2020,8394,658456
6/09/2020,8065,666521
7/09/2020,5327,671848
8/09/2020,7665,679513
9/09/2020,7338,686851
10/09/2020,7813,694664
11/09/2020,7424,702088
12/09/2020,6826,708914
13/09/2020,7355,716319
14/09/2020,5573,721892
15/09/2020,6698,728590
16/09/2020,7787,736377
17/09/2020,7568,743945
18/09/2020,6526,750471
19/09/2020,7927,758398
20/09/2020,6678,765076
21/09/2020,5359,770435
22/09/2020,7102,777537
23/09/2020,6731,784268
24/09/2020,6555,790823
25/09/2020,7494,798317
26/09/2020,7721,806038
27/09/2020,7018,813056
28/09/2020,5150,818206
29/09/2020,5836,824042
30/09/2020,5637,829679
1/10/2020,5660,835339
2/10/2020,6192,841531
3/10/2020,6616,848147
4/10/2020,6905,855052
5/10/2020,7106,862158
6/10/2020,7650,869808
7/10/2020,7875,877683
8/10/2020,8496,886179
9/10/2020,8121,894300
10/10/2020,8447,902747
11/10/2020,8569,911316
12/10/2020,7767,919083
13/10/2020,5013,924096
14/10/2020,6063,930159
15/10/2020,6823,936982
16/10/2020,8372,945354
17/10/2020,7017,952371
18/10/2020,7201,959572
19/10/2020,6311,965883
20/10/2020,8256,974139
21/10/2020,7561,981700
22/10/2020,8570,990270
23/10/2020,8672,998942
24/10/2020,8769,1007711
25/10/2020,8174,1015885
26/10/2020,9167,1025052
27/10/2020,8166,1033218
28/10/2020,8717,1041935
29/10/2020,11187,1053122
30/10/2020,10029,1063151
31/10/2020,11033,1074184
1/11/2020,9137,1083321
2/11/2020,9935,1093256
3/11/2020,6136,1099392
4/11/2020,8692,1108084
5/11/2020,9893,1117977
6/11/2020,9756,1127733
7/11/2020,8714,1136447
8/11/2020,7440,1143887
9/11/2020,5176,1149063
10/11/2020,7612,1156675
11/11/2020,8651,1165326
12/11/2020,8686,1174012
13/11/2020,8685,1182697
14/11/2020,8307,1191004
15/11/2020,7742,1198746
16/11/2020,6471,1205217
17/11/2020,5911,1211128
18/11/2020,6875,1218003
19/11/2020,7487,1225490
20/11/2020,7954,1233444
21/11/2020,7049,1240493
22/11/2020,7924,1248417
23/11/2020,6562,1254979
24/11/2020,7515,1262494
25/11/2020,8497,1270991
26/11/2020,9496,1280487
27/11/2020,10023,1290510
28/11/2020,9103,1299613
29/11/2020,8763,1308376
30/11/2020,8430,1316806
1/12/2020,7986,1324792
2/12/2020,9297,1334089
3/12/2020,9233,1343322
4/12/2020,9285,1352607
5/12/2020,9642,1362249
6/12/2020,8854,1371103
7/12/2020,5997,1377100
8/12/2020,7510,1384610
9/12/2020,7523,1392133
10/12/2020,7778,1399911
11/12/2020,8998,1408909
12/12/2020,8163,1417072
13/12/2020,8702,1425774
14/12/2020,8742,1434516
15/12/2020,10130,1444646
16/12/2020,11953,1456599
17/12/2020,12196,1468795
18/12/2020,13277,1482072
19/12/2020,13990,1496062
20/12/2020,11160,1507222
21/12/2020,10845,1518067
22/12/2020,12526,1530593
23/12/2020,14233,1544826
24/12/2020,14940,1559766
25/12/2020,14941,1574707
26/12/2020,10196,1584903
27/12/2020,9594,1594497
28/12/2020,9310,1603807
29/12/2020,11015,1614822
30/12/2020,11639,1626461
31/12/2020,16314,1642775
1/01/2021,12105,1654880
2/01/2021,11528,1666408
3/01/2021,9412,1675820
4/01/2021,10311,1686131
5/01/2021,16835,1702966
6/01/2021,16805,1719771
7/01/2021,17576,1737347
8/01/2021,18221,1755568
9/01/2021,15795,1771363
10/01/2021,15537,1786900
11/01/2021,15003,1801903
12/01/2021,14179,1816082
13/01/2021,15898,1831980
14/01/2021,17121,1849101
15/01/2021,21078,1870179
16/01/2021,20855,1891034
17/01/2021,17379,1908413
18/01/2021,14719,1923132
19/01/2021,15939,1939071
20/01/2021,17908,1956979
21/01/2021,15366,1972345
22/01/2021,15073,1987418
23/01/2021,15551,2002969
24/01/2021,12516,2015485
25/01/2021,12261,2027746
26/01/2021,13606,2041352
27/01/2021,13953,2055305
28/01/2021,12270,2067575
29/01/2021,10058,2077633
30/01/2021,9173,2086806
31/01/2021,8078,2094884
1/02/2021,9622,2104506
2/02/2021,10091,2114597
3/02/2021,11025,2125622
4/02/2021,9790,2135412
5/02/2021,7248,2142660
6/02/2021,8547,2151207
7/02/2021,6009,2157216
8/02/2021,4246,2161462
9/02/2021,5442,2166904
10/02/2021,6443,2173347
11/02/2021,6294,2179641
12/02/2021,5528,2185169
13/02/2021,4947,2190116
14/02/2021,4923,2195039
15/02/2021,3510,2198549
16/02/2021,4049,2202598
17/02/2021,5103,2207701
18/02/2021,4824,2212525
19/02/2021,4476,2217001
20/02/2021,5017,2222018
21/02/2021,4244,2226262
22/02/2021,3401,2229663
23/02/2021,3926,2233589
24/02/2021,3953,2237542
25/02/2021,3683,2241225
26/02/2021,3567,2244792
27/02/2021,3343,2248135
28/02/2021,3555,2251690
1/03/2021,3570,2255260
2/03/2021,4339,2259599
3/03/2021,3047,2262646
4/03/2021,3565,2266211
5/03/2021,3371,2269582
6/03/2021,3663,2273245
7/03/2021,3411,2276656
8/03/2021,2205,2278861
9/03/2021,3511,2282372
10/03/2021,3588,2285960
11/03/2021,4579,2290539
12/03/2021,4078,2294617
13/03/2021,4465,2299082
14/03/2021,4062,2303144
15/03/2021,2740,2305884
16/03/2021,3716,2309600
17/03/2021,4554,2314154
18/03/2021,5139,2319293
19/03/2021,5133,2324426
20/03/2021,6761,2331187
21/03/2021,5963,2337150
22/03/2021,5128,2342278
23/03/2021,4946,2347224
24/03/2021,5986,2353210
25/03/2021,6732,2359942
26/03/2021,7395,2367337
27/03/2021,8254,2375591
28/03/2021,7139,2382730
29/03/2021,7049,2389779
30/03/2021,7952,2397731
31/03/2021,8646,2406377
1/04/2021,11449,2417826
2/04/2021,10222,2428048
3/04/2021,9149,2437197
4/04/2021,9022,2446219
5/04/2021,10190,2456409
6/04/2021,11827,2468236
7/04/2021,11381,2479617
8/04/2021,12464,2492081
