id_empresa,periodo,id_sector,sector_desc,gastos_totales,gasto_gestion_amb,contrata_personal_amb,realiza_inv_red_emision_aire,realiza_inv_ahorro_agua,realiza_inv_inst_med_agua,realiza_inv_disp_desechos,realiza_inv_protec_suelo,realiza_inv_evita_ruido_vibra,realiza_inv_energia_limp,realiza_otras_inv_amb,realiza_gasto_red_emision_aire,realiza_gasto_ahorro_agua,realiza_gasto_inst_med_agua,realiza_gasto_disp_desechos,realiza_gasto_protec_suelo,realiza_gasto_evita_ruido_vibra,realiza_gasto_terceros_amb,realiza_gasto_energia_limp,realiza_otros_gastos_amb,anio_inicio,id_sector_general,total_ingresos,personal_remunerado,gasto_remuneracion_personal,gasto_personal_total,personal_mujeres,personal_hombres,personal_ocupado,imp_ind_com,imp_otros,gasto_servicios_publicos,gasto_energia_electrica,gasto_gas_natural
10001,2021,I1,alojamiento,"1.682.975,00","0,00",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1992,I1,2777410,25,632893,632893,14,11,25,29535,5717,126832,73346,86686
10002,2021,I1,alojamiento,"1.710.641,00","0,00",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1994,I1,2563253,15,370129,370129,16,0,16,42943,398369,120294,230549,40434
10003,2021,I1,alojamiento,"6.854.236,00","0,00",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2016,I1,7517713,47,1433906,1478298,30,44,74,90691,36867,161682,830041,129562
10004,2021,I1,alojamiento,"6.000.326,00","0,00",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2017,I1,8334016,76,1324830,1324830,33,43,76,58338,34267,198765,223978,0
10005,2021,I2,expendio de alimentos,"22.229.918,00","171.785,00",1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,1957,I2,22229918,44,2329352,2641280,63,106,169,67097,375721,296660,957094,80015
10006,2021,I2,expendio de alimentos,"71.438.456,00","0,00",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1989,I2,81997048,775,17876877,17876877,386,389,775,694132,3629400,147855,617523,478787
10007,2021,I2,expendio de alimentos,"831.639,00","0,00",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1996,I2,787955,9,366082,366082,7,2,9,9283,773,13917,61800,48282
10008,2021,I2,expendio de alimentos,"14.527.370,00","10.504,00",0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1998,I2,17327814,155,3748314,4111007,145,10,155,197636,102416,103800,537596,139957
10013,2021,H1,auxiliares del transporte,"17.301.519,00","0,00",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2003,H1,20924788,29,1099611,1303875,7,29,36,120388,43528,0,3612,0
10015,2021,H1,auxiliares del transporte,"9.562.698,00","25.000,00",1,1,1,0,1,0,0,0,0,0,1,0,1,0,0,1,1,0,1974,H1,21237250,45,2976662,3212901,14,31,45,234640,534118,122763,309291,223314
10017,2021,H1,auxiliares del transporte,"169.410.655,00","1.044.270,00",1,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,0,0,1992,H1,209981065,426,23944484,31545055,145,412,557,1255591,394559,635961,2720076,0
10018,2021,H1,auxiliares del transporte,"4.559.380,00","34.699,00",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2002,H1,8189320,9,663644,681071,9,2,11,101075,0,2061,41485,0
10019,2021,N2,agencias de viajes,"2.365.205,00","465,00",0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1970,N2,1577777,34,1482630,1482630,28,6,34,19288,81245,3798,44600,0
10020,2021,N2,agencias de viajes,"1.099.116,00","0,00",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1971,N2,1515392,18,757986,757986,14,4,18,17934,10293,1306,38225,0
10021,2021,H1,auxiliares del transporte,"6.287.208,00","0,00",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1989,H1,9771190,48,3902277,4391461,18,32,50,123158,26630,7072,57376,267
10022,2021,H1,auxiliares del transporte,"9.028.558,00","16.503,00",0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1996,H1,10537103,145,5152190,5572395,65,80,145,103553,70115,5666,89826,0
10023,2021,H1,auxiliares del transporte,"3.226.363,00","0,00",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1994,H1,4161292,81,2473409,2568083,34,47,81,15402,48976,5890,25102,51
10024,2021,H1,auxiliares del transporte,"2.337.115,00","0,00",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1995,H1,3585877,67,1139092,1285941,39,28,67,41590,31540,3017,40414,2450
10025,2021,H1,auxiliares del transporte,"3.429.871,00","0,00",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1967,H1,7004793,45,1538676,1627707,27,18,45,32739,93592,10665,21007,1034
10026,2021,J3,actividades de telecomunicaciones,"1.043.000,00","0,00",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1999,J3,1340244,21,394800,410732,8,14,22,12852,6659,3625,80395,0
