Periodo,idnoremp,ciiu4,idact,seccion,gastos_tot,GASPROGESAMB,INGREVEN,ACTINV1,ACTINV2,ACTINV3,ACTINV4,ACTINV5,ACTINV6,ACTINV7,ACTINV8,ACTINV9,ACTGAST1,ACTGAST2,ACTGAST3,ACTGAST4,ACTGAST5,ACTGAST6,ACTGAST7,ACTGAST8,ACTGAST9,PERSAMB,PUEAA,SEPRRSSC,REUTRECI,TRATRECI,COMRESID,COMPMPS,intio
2019,10001,5511,5511,I1 Alojamiento,2287702,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,si,no,si,si,si,no,no,2690535
2019,10002,5511,5511,I1 Alojamiento,5020785,0,1175,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,no,si,si,no,no,si,no,5198956
2019,10003,5511,5511,I1 Alojamiento,15309856,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,no,si,si,si,si,no,no,14153289
2019,10004,5511,5511,I1 Alojamiento,8978494,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,si,si,si,si,no,no,no,10684133
2019,10005,5612,5523,I2 Expendio de alimentos,29103165,227327,4161,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,si,si,si,si,no,no,no,26319862
2019,10006,5629,5529,I2 Expendio de alimentos,103879862,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,si,si,si,si,si,si,si,84361203
2019,10007,5611,5521,I2 Expendio de alimentos,1356241,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,no,si,si,si,no,no,no,1289475
2019,10008,5611,5521,I2 Expendio de alimentos,20139069,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,no,no,si,no,no,no,no,15431445
2019,10013,5222,6332,H1 Auxiliares del transporte,35200650,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,no,no,no,no,no,no,no,24063044
2019,10015,5210,6320,H1 Auxiliares del transporte,12650815,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,si,si,si,si,si,si,si,20528645
2019,10017,5222,6332,H1 Auxiliares del transporte,268590426,1161494,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,si,si,si,no,no,no,no,189356904
2019,10018,5222,6332,H1 Auxiliares del transporte,7400310,20638,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,si,si,si,no,si,no,no,8722744
2019,10019,7911,6340,N2 Agencias de viajes,4221926,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,si,si,si,si,no,no,no,4303244
2019,10020,7911,6340,N2 Agencias de viajes,3718166,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,no,no,si,no,no,no,no,4646059
2019,10021,5229,6390,H1 Auxiliares del transporte,5930705,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,si,si,si,si,no,no,no,8902563
2019,10022,5229,6390,H1 Auxiliares del transporte,10054924,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,si,si,si,si,no,si,si,10416249
2019,10023,5229,6390,H1 Auxiliares del transporte,2801586,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,si,no,no,no,si,no,no,3463995
2019,10024,5229,6390,H1 Auxiliares del transporte,2820991,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,no,no,no,no,no,no,no,3802789
2019,10025,5229,6390,H1 Auxiliares del transporte,2891009,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,si,si,si,si,no,no,no,4597050
2019,10026,6130,6424,J3 Actividades de telecomunicaciones,1617514,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,no,si,no,no,no,no,no,888011
2019,10027,6190,6426,J3 Actividades de telecomunicaciones,82902482,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,no,no,si,no,no,no,no,167714579
2019,10028,6110,6421,J3 Actividades de telecomunicaciones,83634663,0,111,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,no,si,si,si,no,si,no,73015614
2019,10029,5511,5511,I1 Alojamiento,15468364,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,si,si,si,no,no,no,no,18630697
2019,10030,7730,7122,LN1 Inmobiliarias Y Alquileres,3141903,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,no,si,si,si,no,no,no,3014053
2019,10032,7810,7491,N3 Obtención y suministro de personal,134331,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,no,no,no,no,no,no,no,2536
2019,10033,7020,7414,"M1 Actividades profesionales, científicas",78514855,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,no,no,no,no,no,no,no,21352280
2019,10034,7110,7421,"M1 Actividades profesionales, científicas",19485784,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,si,si,si,no,si,no,no,19022326
2019,10035,7110,7421,"M1 Actividades profesionales, científicas",9022971,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,no,no,si,si,no,no,no,8134382
2019,10036,7110,7421,"M1 Actividades profesionales, científicas",3543130,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,si,si,si,si,no,no,no,4535057
2019,10038,7110,7421,"M1 Actividades profesionales, científicas",12699241,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,no,no,si,si,si,no,no,16555856
2019,10040,7020,7414,"M1 Actividades profesionales, científicas",127832703,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,si,si,si,no,no,no,no,135615979
2019,10041,7820,7491,N3 Obtención y suministro de personal,5585642,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,no,no,no,no,no,no,no,5680710
2019,10043,7830,7491,N3 Obtención y suministro de personal,5907149,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,no,no,no,no,no,no,no,5963954
2019,10044,7820,7491,N3 Obtención y suministro de personal,22475868,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,no,no,no,no,no,no,no,22961244
