PERIODO,idnoremp,ciiu4,ACTNOM,Seccion,gastos_tot,GASPROGESAMB,ACTINV1,ACTINV2,ACTINV3,ACTINV4,ACTINV5,ACTINV6,ACTINV7,ACTINV8,ACTGAST1,ACTGAST2,ACTGAST3,ACTGAST4,ACTGAST5,ACTGAST6,ACTGAST7,ACTGAST8,ACTGAST9,PERSAMB
2021,10001,5511,Alojamiento en hoteles,I1 Alojamiento,1682975,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021,10002,5511,Alojamiento en hoteles,I1 Alojamiento,1710641,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021,10003,5511,Alojamiento en hoteles,I1 Alojamiento,6854236,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021,10004,5511,Alojamiento en hoteles,I1 Alojamiento,6000326,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021,10005,5612,Actividades de planes de seguridad social de afiliación obligatoria,I2 Expendio de alimentos,22229918,171785,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,1
2021,10006,5629,Actividades de otros servicios de comidas,I2 Expendio de alimentos,71438456,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021,10007,5611,Expendio a la mesa de comidas preparadas,I2 Expendio de alimentos,831639,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021,10008,5611,Expendio a la mesa de comidas preparadas,I2 Expendio de alimentos,14527370,10504,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
2021,10013,5222,Manipulación de carga,H1 Auxiliares del transporte,17301519,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021,10015,5210,Almacenamiento y depósito,H1 Auxiliares del transporte,9562698,25000,1,1,0,1,0,0,0,0,0,1,0,1,0,0,1,1,0,1
2021,10017,5222,Actividades de puertos y servicios complementarios para el transporte acuático,H1 Auxiliares del transporte,169410655,1044270,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,0,0,1
2021,10018,5222,Actividades de puertos y servicios complementarios para el transporte acuático,H1 Auxiliares del transporte,4559380,34699,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
2021,10019,7911,Actividades de las agencias de viaje,N2 Agencias de viajes,2365205,465,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
2021,10020,7911,Actividades de las agencias de viaje,N2 Agencias de viajes,1099116,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021,10021,5229,Otras actividades complementarias al transporte,H1 Auxiliares del transporte,6287208,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021,10022,5229,Otras actividades complementarias al transporte,H1 Auxiliares del transporte,9028558,16503,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
2021,10023,5229,Otras actividades complementarias al transporte,H1 Auxiliares del transporte,3226363,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021,10024,5229,Otras actividades complementarias al transporte,H1 Auxiliares del transporte,2337115,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021,10025,5229,Otras actividades complementarias al transporte,H1 Auxiliares del transporte,3429871,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021,10026,6130,Actividades de programación y transmisión de televisión,J3 Actividades de telecomunicaciones,1043000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021,10027,6190,Otras actividades de telecomunicaciones,J3 Actividades de telecomunicaciones,111483475,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021,10029,5511,Expendio de bebidas alcohólicas para el consumo dentro del establecimiento,I1 Alojamiento,10580896,3821,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
2021,10030,7730,"Alquiler y arrendamiento de otros tipos de maquinaria, equipo y bienes tangibles n.c.p.",LN1 Inmobiliarias Y Alquileres,2285083,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021,10033,7020,Actividades de administración empresarial,"M1 Actividades profesionales, científicas",16710673,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021,10034,7112,Actividades de ingeniería y otras actividades conexas de consultoría técnica,"M1 Actividades profesionales, científicas",10588059,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021,10035,7112,Actividades de ingeniería y otras actividades conexas de consultoría técnica,"M1 Actividades profesionales, científicas",7340927,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021,10036,7112,Actividades de ingeniería y otras actividades conexas de consultoría técnica,"M1 Actividades profesionales, científicas",888784,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021,10038,7112,Actividades de ingeniería y otras actividades conexas de consultoría técnica,"M1 Actividades profesionales, científicas",10830733,32486,0,0,0,0,0,0,1,0,0,1,0,1,1,0,0,1,0,0
2021,10040,7020,Actividades de consultoría de gestión,"M1 Actividades profesionales, científicas",166808550,4117,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
2021,10041,7820,Actividades de empresas de servicios temporales,N3 Obtención y suministro de personal,3749003,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021,10044,7820,Actividades de empresas de servicios temporales,N3 Obtención y suministro de personal,15237773,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021,10047,7820,Actividades de empresas de servicios temporales,N3 Obtención y suministro de personal,9317665,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021,10048,7820,Actividades de empresas de servicios temporales,N3 Obtención y suministro de personal,14982626,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021,10049,7820,Actividades de empresas de servicios temporales,N3 Obtención y suministro de personal,37188752,35000,0,1,0,1,0,0,0,1,1,1,0,1,0,0,1,0,0,1
2021,10050,7820,Actividades de empresas de servicios temporales,N3 Obtención y suministro de personal,89240103,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021,10051,7810,Actividades de empresas de servicios temporales,N3 Obtención y suministro de personal,35472398,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021,10052,7820,Actividades de empresas de servicios temporales,N3 Obtención y suministro de personal,1785831,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021,10053,7820,Actividades de empresas de servicios temporales,N3 Obtención y suministro de personal,4150328,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021,10055,7820,Actividades de empresas de servicios temporales,N3 Obtención y suministro de personal,120132338,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021,10057,7810,Actividades de empresas de servicios temporales,N3 Obtención y suministro de personal,33197096,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021,10058,8010,Actividades de seguridad privada,N3 Obtención y suministro de personal,27501661,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021,10059,8010,Actividades de seguridad privada,N3 Obtención y suministro de personal,22474301,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021,10060,8010,Actividades de seguridad privada,N3 Obtención y suministro de personal,8422273,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021,10062,8010,Actividades de seguridad privada,N3 Obtención y suministro de personal,7194018,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021,10063,8010,Actividades de seguridad privada,N3 Obtención y suministro de personal,144998309,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021,10064,8010,Actividades de seguridad privada,N3 Obtención y suministro de personal,12566989,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021,10065,8010,Actividades de seguridad privada,N3 Obtención y suministro de personal,11722133,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021,10066,8010,Actividades de seguridad privada,N3 Obtención y suministro de personal,61086583,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021,10067,8010,Actividades de seguridad privada,N3 Obtención y suministro de personal,18133453,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021,10068,8020,Actividades de servicios de sistemas de seguridad,N3 Obtención y suministro de personal,4178923,52,1,1,1,1,1,1,1,0,0,1,0,0,1,0,0,0,0,0
2021,10069,8129,Otras actividades de limpieza de edificios e instalaciones industriales,N3 Obtención y suministro de personal,6104339,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021,10070,8110,Limpieza general interior de edificios,N3 Obtención y suministro de personal,93862404,160947,0,1,0,1,0,0,0,0,1,1,0,1,0,0,1,0,0,1
2021,10072,8292,Actividades de envase y empaque,N4 Actividades administrativas,61294053,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021,10075,8299,Otras actividades de servicio de apoyo a las empresas n.c.p.,N4 Actividades administrativas,682599,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021,10076,8544,Educación de universidades,P Educación superior,11308506,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021,10077,8544,Educación de instituciones universitarias o de escuelas tecnológicas,P Educación superior,3478574,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021,10078,8543,Educación de instituciones universitarias o de escuelas tecnológicas,P Educación superior,651943,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021,10079,8544,Educación de universidades,P Educación superior,308898915,253777,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0
2021,10080,8544,Educación de universidades,P Educación superior,50218078,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021,10081,8543,Educación de universidades,P Educación superior,17869699,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021,10082,8541,Educación técnica profesional,P Educación superior,3165504,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021,10083,8544,Educación de universidades,P Educación superior,113129110,27310,1,1,0,1,0,0,0,0,0,1,0,1,0,0,1,0,0,1
2021,10084,8544,Educación de universidades,P Educación superior,61390118,93437,1,1,0,1,1,1,0,0,1,1,0,1,1,1,1,0,0,1
2021,10085,8610,"Actividades de hospitales y clínicas, con internación",Q Salud humana,14496568,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021,10086,8691,Actividades de apoyo diagnóstico,Q Salud humana,24672087,18494,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
