idnorempan;PERIODO;SECCION;ACTNOM;GASPROGESAMB;gastos_tot;ACTINV1;ACTINV2;ACTINV3;ACTINV4;ACTINV5;ACTINV6;ACTINV7;ACTINV8;ACTGAST1;ACTGAST2;ACTGAST3;ACTGAST4;ACTGAST5;ACTGAST6;ACTGAST7;ACTGAST8;ACTGAST9;PERSAMB
10430;2022;H1 Auxiliares del transporte;Almacenamiento y depósito;293768;47609563;0;0;1;1;1;0;0;0;0;0;0;1;0;0;1;0;0;1
10429;2022;H1 Auxiliares del transporte;Almacenamiento y depósito;293768;47609563;0;0;1;0;1;0;0;1;1;1;0;1;0;1;1;0;1;0
18513;2022;H1 Auxiliares del transporte;Almacenamiento y depósito;293768;47609563;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1
13853;2022;H1 Auxiliares del transporte;Transporte de carga por carretera;139752;29336128;0;0;0;0;0;0;0;0;1;0;0;1;1;1;1;0;0;0
15179;2022;H1 Auxiliares del transporte;Actividades de estaciones, vías y servicios complementarios para el transporte terrestre;139752;29336128;0;0;0;0;0;0;0;1;0;0;0;1;0;0;1;0;0;1
10439;2022;H1 Auxiliares del transporte;Actividades de estaciones, vías y servicios complementarios para el transporte terrestre;139752;29336128;0;0;0;0;0;0;0;0;1;0;0;0;1;0;1;0;0;1
14582;2022;H1 Auxiliares del transporte;Actividades de puertos y servicios complementarios para el transporte acuático;1954883;128199754;0;0;0;0;0;0;0;0;1;1;1;1;1;0;1;0;0;1
12366;2022;H1 Auxiliares del transporte;Actividades de puertos y servicios complementarios para el transporte acuático;1954883;128199754;0;0;0;0;0;0;0;0;1;1;0;1;1;0;1;0;1;1
10017;2022;H1 Auxiliares del transporte;Actividades de puertos y servicios complementarios para el transporte acuático;1954883;128199754;0;0;0;0;0;0;0;0;1;1;1;1;1;1;1;0;0;1
14588;2022;H1 Auxiliares del transporte;Actividades de aeropuertos, servicios de navegación aérea y demás actividades conexas al transporte aéreo;1339411;442733489;0;0;0;0;0;0;0;0;1;1;0;1;1;0;0;0;0;0
12790;2022;H1 Auxiliares del transporte;Construcción de otras obras de ingeniería civil;1339411;442733489;0;0;0;0;0;0;0;0;0;1;0;1;1;1;1;1;0;1
12283;2022;H1 Auxiliares del transporte;Actividades de aeropuertos, servicios de navegación aérea y demás actividades conexas al transporte aéreo;1339411;442733489;0;0;0;0;0;0;0;0;1;1;1;1;0;0;1;1;0;1
20256;2022;H1 Auxiliares del transporte;Manipulación de carga;1398790;148645410;0;0;0;0;0;0;0;0;1;1;0;1;1;1;1;0;0;1
20605;2022;H1 Auxiliares del transporte;Manipulación de carga;1398790;148645410;0;0;0;0;0;0;0;0;0;1;0;1;0;0;1;0;0;1
14604;2022;H1 Auxiliares del transporte;Manipulación de carga;1398790;148645410;0;1;0;1;0;0;0;0;1;1;0;1;1;0;1;1;0;1
10446;2022;H1 Auxiliares del transporte;Actividades de puertos y servicios complementarios para el transporte acuático;428161;59939593;0;0;0;0;0;0;0;1;0;1;0;1;1;0;1;1;1;0
17868;2022;H1 Auxiliares del transporte;Otras actividades complementarias al transporte;428161;59939593;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0;0;0;1
10516;2022;H1 Auxiliares del transporte;Otras actividades complementarias al transporte;428161;59939593;0;0;0;0;0;0;0;0;1;1;0;1;1;1;1;1;0;0
14237;2022;H2 Postales y correos;Actividades postales nacionales;0;7030278;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
19039;2022;H2 Postales y correos;Transporte de carga por carretera;0;7030278;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
13097;2022;H2 Postales y correos;Actividades postales nacionales;0;7030278;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
10524;2022;H2 Postales y correos;Actividades de mensajería;160222;334266675;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0
10519;2022;H2 Postales y correos;Transporte de carga por carretera;160222;334266675;0;0;0;0;0;0;0;0;0;1;0;1;0;0;0;0;0;0
10531;2022;H2 Postales y correos;Actividades de mensajería;160222;334266675;1;0;0;0;0;0;0;0;1;1;0;1;1;0;0;0;0;1
13323;2022;I1 Alojamiento;Alojamiento en hoteles;1766915;178970193;0;1;0;1;0;0;0;1;0;0;0;1;0;0;1;0;1;1
14567;2022;I1 Alojamiento;Alojamiento en hoteles;1766915;178970193;1;1;0;0;0;0;0;1;1;0;0;1;0;0;1;0;0;1
14858;2022;I1 Alojamiento;Alojamiento en hoteles;1766915;178970193;0;0;1;0;1;0;0;0;1;1;1;1;0;0;1;0;0;1
19580;2022;I1 Alojamiento;Alojamiento en hoteles;215992;24134369;0;0;0;0;0;0;0;0;1;1;0;1;1;1;1;0;0;0
17552;2022;I1 Alojamiento;Alojamiento en hoteles;215992;24134369;0;0;0;0;0;0;0;0;0;1;0;1;0;0;0;0;0;0
15302;2022;I1 Alojamiento;Alojamiento en hoteles;215992;24134369;1;1;0;0;0;0;0;1;1;0;0;1;0;0;0;0;0;0
14501;2022;I1 Alojamiento;Alojamiento en centros vacacionales;102861;14554212;0;1;0;1;0;1;0;1;0;0;0;1;0;0;1;0;0;1
13741;2022;I1 Alojamiento;Alojamiento en centros vacacionales;102861;14554212;1;1;0;0;1;0;1;0;0;1;0;1;1;0;1;1;0;1
13268;2022;I1 Alojamiento;Alojamiento en centros vacacionales;102861;14554212;0;0;0;0;0;0;0;0;0;1;0;1;0;1;0;1;0;1
19488;2022;I1 Alojamiento;Alojamiento en hoteles;0;1133386;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
19664;2022;I1 Alojamiento;Alojamiento rural;0;1133386;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
20449;2022;I1 Alojamiento;Alojamiento rural;0;1133386;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
20221;2022;I1 Alojamiento;Otros tipos de alojamiento para visitantes;0;3002425;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
14120;2022;I1 Alojamiento;Otros tipos de alojamiento para visitantes;0;3002425;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
14269;2022;I1 Alojamiento;Servicio de estancia por horas;2888;1357208;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0
14133;2022;I1 Alojamiento;Servicio de estancia por horas;2888;1357208;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0
13801;2022;I1 Alojamiento;Servicio de estancia por horas;2888;1357208;1;1;0;1;0;0;0;0;1;1;0;1;0;0;1;0;0;0
14399;2022;I1 Alojamiento;Alojamiento en hoteles;7589;10046723;0;1;0;0;1;0;0;0;0;1;0;1;1;0;0;0;0;0
10400;2022;I2 Expendio de alimentos;Expendio a la mesa de comidas preparadas;859882;377789771;1;1;0;0;0;0;0;1;0;1;1;0;0;0;1;0;0;1
