idnorempan;PERIODO;SECCION;ACTNOM;GASPROGESAMB;gastos_tot;FUEN_AG_TOT;WTOTECONSUM;ACTINV1;ACTINV2;ACTINV3;ACTINV4;ACTINV5;ACTINV6;ACTINV7;ACTINV8;ACTGAST1;ACTGAST2;ACTGAST3;ACTGAST4;ACTGAST5;ACTGAST6;ACTGAST7;ACTGAST8;ACTGAST9;PERSAMB
10429;2023;H1 Auxiliares del transporte;Almacenamiento y depósito;331267;141276673;27.324;5.627.314;1;1;0;0;0;0;0;1;1;1;0;1;0;1;1;0;1;1
10213;2023;H1 Auxiliares del transporte;Almacenamiento y depósito;331267;141276673;27.324;5.627.314;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;0;0;1
13851;2023;H1 Auxiliares del transporte;Almacenamiento y depósito;331267;141276673;27.324;5.627.314;0;0;0;0;0;0;0;1;1;0;0;0;0;1;0;0;0;1
10439;2023;H1 Auxiliares del transporte;Actividades de estaciones, vías y servicios complementarios para el transporte terrestre;180809;34597790;39238;986853;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;0;0;1
13853;2023;H1 Auxiliares del transporte;Actividades de estaciones, vías y servicios complementarios para el transporte terrestre;180809;34597790;39238;986853;0;0;0;0;0;0;0;0;1;0;0;1;1;1;1;0;0;0
15179;2023;H1 Auxiliares del transporte;Actividades de estaciones, vías y servicios complementarios para el transporte terrestre;180809;34597790;39238;986853;0;0;0;0;0;0;0;1;0;0;0;1;0;0;1;0;0;1
14582;2023;H1 Auxiliares del transporte;Actividades de puertos y servicios complementarios para el transporte acuático;4095057;121736197;221641;12643222;1;0;0;0;0;0;0;1;1;1;1;1;0;1;1;0;0;1
18467;2023;H1 Auxiliares del transporte;Actividades de puertos y servicios complementarios para el transporte acuático;4095057;121736197;221641;12643222;0;0;0;1;0;0;0;0;1;1;0;1;0;0;1;0;0;1
12366;2023;H1 Auxiliares del transporte;Actividades de puertos y servicios complementarios para el transporte acuático;4095057;121736197;221641;12643222;0;0;0;0;0;0;0;0;1;1;1;1;1;0;1;0;1;1
12790;2023;H1 Auxiliares del transporte;Actividades de aeropuertos, servicios de navegación aérea y demás actividades conexas al transporte aéreo;3922955;472037682;377712;14608753;0;0;0;0;0;0;0;0;1;1;1;1;1;1;1;1;0;1
