"";"idnoremp";"Seccion20";"Division";"periodo";"intio";"pottcag";"gppgpa";"ocgtot";"CONINTER";"OTROSG";"PEROCU";"PEREMU";"PMISION";"SULPERM";"SULSAL";"SULTEMP";"SULMISION";"SULAPRENDIZ";"PRESPERM";"PRESTEMP";"PRESMISION";"PRESTA";"REMU";"PROBRU";"VALAGRE";"TOTG";"idaio";"imesetot";"inoio";"insertot";"potpsfr";"pompsfr";"pohpsfr";"potperm";"pomperm";"pohperm";"pottcde";"pomtcde";"pohtcde";"pottmoe";"pomtmoe";"pohtmoe";"pomtcag";"pohtcag";"potpau";"pompau";"pohpau";"pomtot";"pohtot";"pottot";"pompsfr1";"pohpsfr2";"pompsfr3";"pohpsfr4";"pompsfr5";"pohpsfr6";"pomperm1";"pohperm2";"pomperm3";"pohperm4";"pomperm5";"pohperm6";"pomtcde1";"pohtcde2";"pomtcde3";"pohtcde4";"pomtcde5";"pohtcde6";"pomtcag1";"pohtcag2";"pomtcag3";"pohtcag4";"pomtcag5";"pohtcag6";"pomtdhc";"pohtdhc";"pomtmad";"pohtmad";"pompau1";"pohpau2";"pomtot1";"pohtot2";"pomtot3";"pohtot4";"pomtot5";"pohtot6";"ththca";"thtmas";"gppsi";"gpper";"gpppsp";"gpppst";"gsppt";"gppcpo";"gppano";"gppavo";"gpppta";"gppgpn";"gpptpot";"ocgrps";"gmesetot";"gsptot";"ocgrc";"ocgid";"occree";"ocgoi";"ocgpc";"ocgog";"ocgtg";"ocgamc";"ocgtgno";"gouts";"ocgsv";"ocgee";"ocgar";"ocgca";"ocgse";"ocgsp";"ocgco";"ocgfa";"ocgpp";"ocgnr";"ocggv";"ocgct";"ocggr";"ocgup";"ocgcl";"ocgusi";"ocgspe";"ocgsgn";"gppsied1";"gppsied2";"gppsied3";"gppered1";"gppered2";"gppered3";"gpppsp1";"gpppsp2";"gpppsp3";"gpppsted1";"gpppsted2";"gpppsted3";"gppcpoed1";"gppcpoed2";"gppcpoed3";"gppanoed1";"gppanoed2";"gppanoed3";"gppavoed1";"gppavoed2";"gppavoed3";"gppdocen";"gppgpaed1";"gppmoni";"gppgpned1";"gppgpned2";"gppgpned3";"gpptpoted1";"gpptpoted2";"gpptpoted3";"opcomex"
"1";10001;"I1";55;2020;1278418;0;7660;614854;586155;30200;35;35;0;215200;361890;139030;0;7660;54487;30355;0;196994;558884;1278418;692263;589084;1992;0;7793;1270625;0;0;0;19;9;10;15;6;9;0;0;0;0;0;1;1;0;16;19;35; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;0;215200;54487;0;0;85256;26896;0;0;30200;589084;147458;0;7500;0;16299;0;8044;0;0;0;0;0;0;15470;6891;27275;3684;4209;49545;28452;9450;0;70501;0;2641;0;11620;2461;5000;155441;42913; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;4
"2";10002;"I1";55;2020;1567963;0;7668;1076676;1016381;4200;40;39;0;105889;588442;474885;0;7668;23105;100897;0;325584;914026;1550361;533980;918226;1994;0;690020;877943;1;0;1;3;3;0;35;15;20;0;0;0;0;0;1;0;1;18;22;40; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;0;105889;23105;0;0;170370;31212;0;0;4200;918226;195695;0;2800;0;685;0;51349;0;0;0;0;0;0;98448;0;116860;0;615;88627;15555;7950;0;165954;0;54212;5786;6833;1619;4940;221604;37144; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;4
"3";10003;"I1";55;2020;6118734;40;7900;5265687;4939343;152559;59;59;0;940476;948376;0;0;7900;207015;0;0;356083;1304459;6118734;1179391;1457018;1999;0;1964503;4154231;0;0;0;58;19;39;0;0;0;0;0;0;19;21;1;0;1;38;61;99; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;0;940476;207015;0;0;107525;41543;0;852644;152559;1457018;1027205;0;82301;14567;74248;0;195254;26916;0;0;0;0;0;25547;141222;594345;0;73588;152332;140513;46774;7304;595822;3630;48968;142563;28222;4189;8993;844994;133546; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;3
"4";10004;"I1";55;2020;2744765;0;0;2284601;2226380;0;15;15;0;198318;198318;0;0;0;43609;0;0;90765;289083;2744765;518385;289083;2009;0;509216;2235549;0;0;0;15;7;8;0;0;0;0;0;0;0;0;0;0;0;7;8;15; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;0;198318;43609;0;0;44665;7933;0;0;0;294525;90051;0;21345;0;17826;0;19092;0;0;1345980;0;0;5962;13427;0;12378;0;4327;132456;15789;0;67289;119678;0;225672;0;5209;12450;21324;154346;0; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;2
"5";10005;"I2";56;2020;14030451;166;8690;11550617;10975835;236666;48;48;0;1262565;1271255;0;0;8690;577198;0;0;949855;2221110;14030451;3054616;2457776;1957;0;12604791;1425660;0;0;0;48;26;22;0;0;0;0;0;0;56;110;0;0;0;82;132;214; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;0;1262565;577198;0;0;271789;122947;0;3006580;236666;2479855;769791;0;149016;9551;35213;0;343837;124612;0;2021678;0;0;0;2071332;0;0;42295;12649;154906;193716;476145;0;1326601;1493;0;0;10164;26643;31119;691352;51924; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;4
"6";10006;"I2";56;2020;111800965;0;98181;74885606;59483428;228353;637;637;0;234799;9836987;9504007;0;98181;51420;2342490;0;3999671;13836658;101425214;41941786;14065011;1989;11529912;0;100271053;0;0;0;4;2;2;616;261;355;0;0;0;0;0;17;3;14;266;371;637; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;0;234799;51420;0;0;1200980;404781;0;0;228353;14065011;48925920;10375751;560034;0;886104;0;3809196;230142;0;70024;0;0;0;794584;953268;589803;49;503217;132152;174194;3723643;8740;949526;177402;0;6828;115075;252601;817323;582063;247967; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;4
"7";10007;"I2";56;2020;597624;0;14754;359012;336444;0;14;14;0;179352;275155;81049;0;14754;37664;24421;0;108338;383493;597624;261180;383493;1996;0;0;597624;0;0;0;4;4;0;8;4;4;0;0;0;0;0;2;2;0;10;4;14; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;0;179352;37664;0;0;36044;10209;0;0;0;383493;138147;0;4095;3239;7053;0;13586;0;0;5020;0;0;0;33317;0;0;209;2656;13386;5703;18;378;14506;0;0;0;975;0;1568;64003;51153; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;4
"8";10008;"I2";56;2020;8573901;3;42127;5817631;5632366;53554;122;122;0;1857220;1899347;0;0;42127;427160;0;0;769470;2668817;8573901;2941535;2722371;1998;0;0;8573901;0;0;0;117;109;8;0;0;0;0;0;0;3;0;5;3;2;115;10;125; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;0;1857220;427160;0;0;257949;84361;0;52754;53554;2722371;3933066;0;138307;0;99829;0;70201;0;0;34750;0;0;0;51282;281;373526;126913;24559;83617;24611;67398;0;138447;17390;0;1565;47087;0;26704;412798;92546; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;4
"9";10012;"H1";52;2020;302974;0;0;182398;172717;1130;3;3;0;52200;52200;0;0;0;12528;0;0;24104;76304;302974;130257;77434;1993;0;0;302974;0;0;0;3;0;3;0;0;0;0;0;0;0;0;0;0;0;0;3;3; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;0;52200;12528;0;0;8782;2543;251;0;1130;77434;121395;0;15818;0;2531;0;6791;0;0;563;0;0;0;0;2191;7060;0;265;300;3403;600;0;1646;366;0;173;197;17348;1747;4;0; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;4
"10";10013;"H1";52;2020;21883926;6;25705;16290467;16123181;225716;33;33;0;658833;684538;0;0;25705;180926;0;0;414745;1099283;21883926;5760745;1324999;2003;0;0;21883926;0;0;0;30;6;24;0;0;0;0;0;0;0;6;3;1;2;7;32;39; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;0;658833;180926;0;0;120605;28781;84433;173245;225716;1324999;14884297;0;772174;0;126484;0;37838;0;0;4129;0;0;0;0;83302;0;0;131939;0;16070;0;0;54791;0;0;0;423;0;2536;3239;0; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;4
