"idnoremp","Seccion21","Division","periodo","intio","pottcag","gppgpa","ocgtot","CONINTER","OTROSG","PEROCU","PEREMU","PMISION","SULPERM","SULSAL","SULTEMP","SULMISION","SULAPRENDIZ","PRESPERM","PRESTEMP","PRESMISION","PRESTA","REMU","PROBRU","VALAGRE","TOTG","idaio","imesetot","inoio","insertot","potpsfr","pompsfr","pohpsfr","potperm","pomperm","pohperm","pottcde","pomtcde","pohtcde","pottmoe","pomtmoe","pohtmoe","pomtcag","pohtcag","potpau","pompau","pohpau","pomtot","pohtot","pottot","pompsfr1","pohpsfr2","pompsfr3","pohpsfr4","pompsfr5","pohpsfr6","pomperm1","pohperm2","pomperm3","pohperm4","pomperm5","pohperm6","pomtcde1","pohtcde2","pomtcde3","pohtcde4","pomtcde5","pohtcde6","pomtcag1","pohtcag2","pomtcag3","pohtcag4","pomtcag5","pohtcag6","pomtdhc","pohtdhc","pomtmad","pohtmad","pompau1","pohpau2","pomtot1","pohtot2","pomtot3","pohtot4","pomtot5","pohtot6","ththca","thtmas","gppsi","gpper","gpppsp","gpppst","gsppt","gppcpo","gppano","gppavo","gpppta","gppgpn","gpptpot","ocgrps","gmesetot","gsptot","ocgrc","ocgid","occree","ocgoi","ocgpc","ocgog","ocgtg","ocgamc","ocgtgno","gouts","ocgsv","ocgee","ocgar","ocgca","ocgse","ocgsp","ocgco","ocgfa","ocgpp","ocgnr","ocggv","ocgct","ocggr","ocgup","ocgcl","ocgusi","ocgspe","ocgsgn","gppsied1","gppsied2","gppsied3","gppered1","gppered2","gppered3","gpppsp1","gpppsp2","gpppsp3","gpppsted1","gpppsted2","gpppsted3","gppcpoed1","gppcpoed2","gppcpoed3","gppanoed1","gppanoed2","gppanoed3","gppavoed1","gppavoed2","gppavoed3","gppdocen","gppgpaed1","gppmoni","gppgpned1","gppgpned2","gppgpned3","gpptpoted1","gpptpoted2","gpptpoted3","opcomex"
10001,"I1",55,2021,2777410,0,19802,1050082,1007932,0,25,25,0,225000,416502,171700,0,19802,49500,37775,0,216391,632893,2777410,1769478,632893,1992,0,780779,1996631,0,0,0,12,5,7,11,7,4,0,0,0,0,0,2,2,0,14,11,25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,225000,49500,NA,NA,99961,29155,0,0,0,632893,296913,0,28147,0,29535,NA,5717,0,NA,0,NA,NA,0,945,0,37699,11396,8953,126832,45173,15217,13779,201022,0,45556,0,14425,5229,3512,73346,86686,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
10002,"I1",55,2021,2563253,0,5969,1340512,893009,0,16,15,0,105888,244462,132605,0,5969,25458,36905,0,125667,370129,2563253,1670244,370129,1994,0,1393635,1169618,1,1,0,3,3,0,11,11,0,0,0,0,0,0,1,1,0,16,0,16,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,105888,25458,NA,NA,53525,9779,0,0,0,370129,216988,0,63085,0,42943,NA,398369,0,NA,0,NA,NA,0,0,0,148825,0,0,120294,8498,8661,0,550,0,57040,0,1792,1779,705,230549,40434,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
10003,"I1",55,2021,7517713,27,0,5375938,4716215,44392,47,47,0,1033665,1033665,0,0,0,227406,0,0,400241,1433906,7517713,2801498,1478298,2016,0,3360176,4157537,0,0,0,47,17,30,0,0,0,0,0,0,13,14,0,0,0,30,44,74,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1033665,227406,NA,NA,113306,40985,18544,741894,44392,1478298,1478334,0,19160,0,90691,NA,36867,507147,NA,0,NA,NA,0,0,156310,500250,164,56717,161682,40642,29496,1334,396143,0,50988,123474,4009,8068,12965,830041,129562,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
10004,"I1",55,2021,8334016,0,0,4675496,4571942,0,76,76,0,886605,886605,0,0,0,195053,0,0,438225,1324830,8334016,3762074,1324830,2017,0,1156963,7177053,0,0,0,76,33,43,0,0,0,0,0,0,0,0,0,0,0,33,43,76,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,886605,195053,NA,NA,161174,81998,0,0,0,1324830,3456897,0,23454,0,58338,NA,34267,0,NA,0,NA,NA,7639,8765,0,0,0,6764,198765,17653,0,45432,225553,0,287450,34329,6209,8769,31234,223978,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
10005,"I2",56,2021,22229918,125,0,19567944,18967411,311928,44,44,0,1378634,1378634,0,0,0,552851,0,0,950718,2329352,22229918,3262507,2641280,1957,0,19041621,3188297,0,0,0,44,23,21,0,0,0,0,0,0,40,85,0,0,0,63,106,169,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1378634,552851,NA,NA,293360,125201,0,2998238,311928,2661974,1751674,0,220523,10005,67097,NA,375721,16432,NA,7545166,NA,NA,0,2371052,0,0,43486,6402,296660,198013,560102,0,1942187,868,0,0,19948,26460,80801,957094,80015,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
10006,"I2",56,2021,81997048,0,138146,53561579,40350410,0,775,775,0,316902,12314940,11859892,0,138146,74408,3095432,0,5561937,17876877,73268961,32918551,17876877,1989,11166070,0,70830978,0,0,0,6,2,4,751,371,380,0,0,0,0,0,18,13,5,386,389,775,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,316902,74408,NA,NA,1875226,516871,0,0,0,17876877,29744506,8728087,1058707,0,694132,NA,3629400,63114,NA,968160,NA,NA,0,322002,1072148,0,220,436185,147855,271488,1555207,43966,1302385,233588,0,1531621,151618,232557,278323,617523,478787,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
10007,"I2",56,2021,787955,0,14786,465557,453553,0,9,9,0,189228,284384,80370,0,14786,1,19445,0,81698,366082,787955,334402,366082,1996,0,0,787955,0,0,0,3,3,0,5,3,2,0,0,0,0,0,1,1,0,7,2,9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,189228,1,NA,NA,49852,12400,0,0,0,366082,126475,0,74016,4632,9283,NA,773,0,NA,1802,NA,NA,55585,59911,0,0,0,2739,13917,4170,0,0,1833,0,0,0,339,0,0,61800,48282,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
10008,"I2",56,2021,17327814,0,45944,10416363,10089456,362693,155,155,0,2619960,2665904,0,0,45944,587143,0,0,1082410,3748314,17327814,7238358,4111007,1998,0,0,17327814,0,0,0,150,142,8,0,0,0,0,0,0,0,0,5,3,2,145,10,155,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2619960,587143,NA,NA,374805,120462,0,0,362693,4111007,7248595,0,182179,0,197636,NA,102416,0,NA,374848,NA,NA,0,77581,2560,665713,138196,20646,103800,19064,138323,0,189760,10611,159602,799,38535,345,67601,537596,139957,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
10012,"H1",52,2021,394246,0,0,237630,224989,1133,3,3,0,57056,57056,0,0,0,12557,0,0,24160,81216,394246,169257,82349,1993,0,0,394246,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,3,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,57056,12557,NA,NA,8802,2549,252,0,1133,82349,157966,0,20657,0,3305,NA,8868,0,NA,735,NA,NA,0,0,2861,9220,0,346,392,4444,784,0,2150,478,0,226,257,22655,2281,5,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
10013,"H1",52,2021,20924788,7,16408,15997644,15830725,204264,29,29,0,675702,692110,0,0,16408,185065,0,0,407501,1099611,20924788,5094063,1303875,2003,0,0,20924788,0,0,0,27,5,22,0,0,0,0,0,0,1,6,2,1,1,7,29,36,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,675702,185065,NA,NA,117279,28514,76643,193041,204264,1303875,14504520,0,835849,0,120388,NA,43528,0,NA,4484,NA,NA,0,0,0,85538,0,132820,0,16797,0,0,54747,0,0,0,449,0,1871,3612,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
