"idnoremp","Seccion22","Division","periodo","intio","pottcag","gppgpa","ocgtot","CONINTER","OTROSG","PEROCU","PEREMU","PMISION","SULPERM","SULSAL","SULTEMP","SULMISION","SULAPRENDIZ","PRESPERM","PRESTEMP","PRESMISION","PRESTA","REMU","PROBRU","VALAGRE","TOTG","idaio","imesetot","inoio","insertot","potpsfr","pompsfr","pohpsfr","potperm","pomperm","pohperm","pottcde","pomtcde","pohtcde","pottmoe","pomtmoe","pohtmoe","pomtcag","pohtcag","potpau","pompau","pohpau","pomtot","pohtot","pottot","pompsfr1","pohpsfr2","pompsfr3","pohpsfr4","pompsfr5","pohpsfr6","pomperm1","pohperm2","pomperm3","pohperm4","pomperm5","pohperm6","pomtcde1","pohtcde2","pomtcde3","pohtcde4","pomtcde5","pohtcde6","pomtcag1","pohtcag2","pomtcag3","pohtcag4","pomtcag5","pohtcag6","pomtdhc","pohtdhc","pomtmad","pohtmad","pompau1","pohpau2","pomtot1","pohtot2","pomtot3","pohtot4","pomtot5","pohtot6","ththca","thtmas","gpper","gpppsp","gppcpo","gppano","gppavo","gpppta","gppgpn","gpptpot","ocgrps","gmesetot","gsptot","ocgrc","ocgid","ocgoi","ocgpc","ocgtg","gouts","ocgsv","ocgee","ocgar","ocgca","ocgse","ocgsp","ocgco","ocgfa","ocgpp","ocgnr","ocggv","ocgct","ocggr","ocgup","ocgcl","ocgusi","ocgspe","ocgsgn","gppered1","gppered2","gppered3","gpppsp1","gpppsp2","gpppsp3","gppcpoed1","gppcpoed2","gppcpoed3","gppanoed1","gppanoed2","gppanoed3","gppavoed1","gppavoed2","gppavoed3","gppdocen","gppgpaed1","gppmoni","gppgpned1","gppgpned2","gppgpned3","gpptpoted1","gpptpoted2","gpptpoted3"
10001,"I1",55,2022,3548177,0,0,1414207,1325717,39388,33,33,0,206400,531716,308500,0,16816,45291,69063,0,231839,763555,3548177,2222460,802943,1992,0,1514674,2033503,0,0,0,10,3,7,21,11,10,"NA","NA","NA",0,0,0,0,0,15,18,33,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,206400,45291,89328,28157,0,0,39388,802943,494426,0,44808,0,43052,37494,0,0,0,0,0,49426,33213,9866,130639,45637,15152,21350,152344,0,56139,0,15623,3720,2928,166584,91806,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
10002,"I1",55,2022,5652965,0,11059,2327635,2110381,31818,30,29,0,101758,453818,341001,0,11059,24102,92365,0,232687,686505,5652965,3542584,718323,1994,0,3344273,2308692,1,0,1,3,3,0,25,12,13,"NA","NA","NA",0,0,1,1,0,16,14,30,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,101758,24102,96978,19242,0,0,31818,718323,724281,0,121348,0,57144,147335,0,0,0,65998,0,109997,0,0,214130,11746,11171,68763,93619,9444,194011,0,3149,2646,7112,404366,81375,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
10003,"I1",55,2022,12123841,63,20875,8384611,8179035,23065,51,51,0,1140667,1161542,0,0,20875,283975,0,0,493704,1655246,12123841,3944806,1678311,2015,0,5255951,6867890,0,0,0,49,21,28,0,0,0,"NA","NA","NA",29,34,2,1,1,51,63,114,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1140667,283975,160450,49279,0,1392251,23065,1678311,2574579,0,13500,254,144835,18332,0,0,0,30511,151655,1177561,49761,50672,296693,98491,67207,4830,779246,2200,103456,112009,51508,0,0,1249603,15457,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
10004,"I1",55,2022,15692721,0,0,7664812,7581257,49140,136,136,0,1694214,1694214,0,0,0,372727,0,0,830165,2524379,15692721,8111464,2573519,2017,0,3328281,12364440,0,0,0,136,136,0,0,0,0,"NA","NA","NA",0,0,0,0,0,136,0,136,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1694214,372727,304959,152479,0,0,49140,2573519,5375000,0,40163,14000,11792,50025,0,796012,0,11164,0,0,0,7576,0,33600,0,0,2e+05,0,404000,0,8030,640000,30250,0,43200,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
10005,"I2",56,2022,34356219,190,49000,31170362,30401367,494084,48,48,0,1520446,1569446,0,0,49000,648003,0,0,1093916,2663362,34356219,3954852,3157446,1957,0,27098577,7257642,0,0,0,44,23,21,0,0,0,"NA","NA","NA",72,118,4,4,0,99,139,238,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1520446,648003,328175,140695,4504,4706065,494084,3184907,4198890,0,561721,21197,142812,388469,26467,11118387,0,2828554,0,16529,44693,6527,372088,181103,1703664,0,2968436,12274,0,0,33024,28564,77514,1591866,141518,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
10006,"I2",56,2022,122015711,0,238795,78581136,70523817,1263554,1220,1220,0,351585,18186122,17595742,0,238795,80380,4592489,0,8205406,26391528,119731706,49207889,27655082,1989,2535738,0,119479973,0,0,0,3,1,2,1191,660,531,"NA","NA","NA",0,0,26,15,11,676,544,1220,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,351585,80380,2769246,763291,0,0,1263554,27655082,55414784,2284005,2577180,0,1087440,4502997,56293,642872,0,387748,1452281,666550,0,666231,255861,195022,3424691,18676,2122730,407618,0,0,91084,289527,404508,1102687,530351,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
10008,"I2",56,2022,22149517,0,64069,15247582,14797917,208324,171,171,0,3398822,3462891,0,0,64069,780489,0,0,1426225,4889116,22149517,7351600,5097440,1998,0,0,22149517,0,0,0,164,151,13,0,0,0,"NA","NA","NA",0,0,7,6,1,157,14,171,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3398822,780489,488781,156955,0,0,208324,5097440,10227068,0,180108,0,260003,145311,0,822519,0,121802,6668,895485,172324,23237,123723,24109,232549,4860,446140,44933,308047,3216,79685,1636,79704,844581,199874,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
10013,"H1",52,2022,21146763,7,18500,16463188,16271094,184645,29,29,0,713237,731737,0,0,18500,179299,0,0,413114,1144851,21146763,4875669,1329496,2003,0,0,21146763,0,0,0,27,6,21,0,0,0,"NA","NA","NA",2,5,2,1,1,9,27,36,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,713237,179299,123383,29941,80491,323987,184645,1329496,14978941,0,724269,0,122008,36597,31025,4992,0,0,0,88644,0,77830,0,7309,0,0,59453,1560,0,0,1656,0,1329,3588,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
10015,"H1",52,2022,26322561,0,39701,7736764,6898901,282869,81,81,0,3430495,3470196,0,0,39701,857623,0,0,1641135,5111331,26322561,19423660,5394200,1974,0,0,26322561,0,0,0,77,26,51,0,0,0,"NA","NA","NA",0,0,4,2,2,28,53,81,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3430495,857623,618106,165406,0,0,282869,5394200,1335607,0,528060,0,291586,495416,0,16737,0,850331,0,176507,54693,603620,108136,103896,2016,0,1233295,68817,0,28040,71331,77546,181129,554039,955962,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
10017,"H1",52,2022,240525654,142,190125,155697531,153374831,6185359,429,429,0,17681436,17871561,0,0,190125,3471428,0,0,8535940,26407501,240525654,87150823,32592860,1992,0,553638,239972016,0,0,0,409,116,293,0,0,0,"NA","NA","NA",32,110,20,9,11,157,414,571,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,17681436,3471428,2843858,847580,1373074,4470691,6185359,32592860,129725728,0,4698250,0,1429887,390450,356099,343279,0,1323345,144410,0,397242,2088152,812665,338411,26978,241084,4125849,663594,4424,684745,115618,40932,109277,3166421,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
