id_empresa,periodo,id_sector,sector_desc,gastos_totales,gasto_gestion_amb,realiza_inv_red_emision_aire,realiza_inv_ahorro_agua,realiza_inv_inst_med_agua,realiza_inv_disp_desechos,realiza_inv_protec_suelo,realiza_inv_evita_ruido_vibra,realiza_inv_energia_limp,realiza_otras_inv_amb,realiza_gasto_red_emision_aire,realiza_gasto_ahorro_agua,realiza_gasto_inst_med_agua,realiza_gasto_disp_desechos,realiza_gasto_protec_suelo,realiza_gasto_evita_ruido_vibra,realiza_gasto_terceros_amb,realiza_gasto_energia_limp,realiza_otros_gastos_amb,anio_inicio,id_sector_general,total_ingresos,personal_remunerado,gasto_remuneracion_personal,gasto_personal_total,personal_mujeres,personal_hombres,personal_ocupado,imp_ind_com,imp_otros,gasto_servicios_publicos,gasto_energia_electrica,gasto_gas_natural
12366,2020,H1,auxiliares del transporte,136971770,1908989,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,0,1,2011.0,H1,228488960,101.0,10470030.0,13153908.0,17.0,93.0,110.0,2385231,9408425,0,4921528,0
10017,2020,H1,auxiliares del transporte,136971770,1908989,0,0,0,0,0,0,0,0,1,1,0,1,0,0,1,0,0,1992.0,H1,181005802,436.0,23454419.0,28510222.0,146.0,417.0,563.0,1040490,321397,593380,2710306,0
12283,2020,H1,auxiliares del transporte,136971771,1908990,0,1,1,1,0,0,0,0,0,1,1,1,0,0,0,0,0,1995.0,H1,666175014,545.0,36677974.0,38419733.0,246.0,367.0,613.0,2960817,2611863,613544,10289922,0
14588,2020,H1,auxiliares del transporte,32549555,760566,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,1996.0,H1,66183686,129.0,8083130.0,9208247.0,50.0,79.0,129.0,581743,1573766,366798,1969881,0
12790,2020,H1,auxiliares del transporte,27354483,651317,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,2010.0,H1,33131598,215.0,7323128.0,7998114.0,80.0,135.0,215.0,574611,181292,176093,1551399,0
18195,2020,H1,auxiliares del transporte,15846189,606237,0,0,0,0,0,0,0,0,1,1,1,1,1,0,1,0,1,2017.0,H1,14132009,76.0,3892535.0,4041605.0,22.0,54.0,76.0,234709,174916,117184,581059,0
13646,2020,H1,auxiliares del transporte,93854957,495574,0,1,0,1,0,0,0,0,0,0,0,1,0,0,1,0,1,2011.0,H1,205511195,322.0,21554218.0,23716768.0,94.0,304.0,398.0,3714356,6770650,174520,250961,0
15093,2020,H1,auxiliares del transporte,14758560,489657,1,0,0,0,1,0,0,0,1,1,1,1,1,1,1,0,0,2000.0,H1,20686028,23.0,1640591.0,1654565.0,2.0,21.0,23.0,253365,182866,191889,953854,0
13350,2020,H1,auxiliares del transporte,215933508,488764,0,0,0,0,0,0,0,1,1,1,0,1,0,0,1,0,0,1994.0,H1,398446325,805.0,53484645.0,57997745.0,172.0,682.0,854.0,2510031,2501450,122527,7513472,150
10210,2020,H1,auxiliares del transporte,22938506,473211,0,0,0,0,0,0,0,0,1,1,0,1,0,0,1,0,0,2010.0,H1,23494871,52.0,1761783.0,2324187.0,45.0,7.0,52.0,260350,91754,24887,310282,0
15073,2020,H1,auxiliares del transporte,39220103,430665,0,1,0,0,0,0,0,1,1,1,0,1,0,1,1,0,0,2004.0,H1,66233077,286.0,11895759.0,12077104.0,84.0,202.0,286.0,815736,11671,0,234375,0
10436,2020,H1,auxiliares del transporte,55348234,417347,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1965.0,H1,63255400,232.0,10232476.0,10720259.0,213.0,272.0,485.0,670393,204438,204663,920548,280481
15102,2020,H1,auxiliares del transporte,8948713,407140,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,2002.0,H1,8444854,18.0,1839950.0,2727023.0,1.0,17.0,18.0,97311,800987,27712,454667,0
18513,2020,H1,auxiliares del transporte,10862696,376394,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1998.0,H1,19614904,49.0,1497131.0,1655438.0,8.0,47.0,55.0,244598,8470,39972,177543,495229
18156,2020,H1,auxiliares del transporte,18584344,343240,0,0,0,0,0,0,0,0,1,1,1,1,1,0,1,0,0,2020.0,H1,25677347,138.0,5534708.0,5647673.0,23.0,120.0,143.0,9198,103945,445,141,0
18483,2020,H1,auxiliares del transporte,118859276,338401,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,2016.0,H1,256295531,32.0,5454773.0,5847197.0,17.0,20.0,37.0,2962025,3239406,20506,21982,0
15074,2020,H1,auxiliares del transporte,73025387,306266,0,0,0,0,0,0,0,1,1,1,0,1,1,1,1,0,0,1993.0,H1,142583695,305.0,19399261.0,19769647.0,69.0,244.0,313.0,1734898,2445340,386114,2499476,0
10273,2020,H1,auxiliares del transporte,24964465,303325,0,0,0,0,0,0,0,1,1,1,0,1,1,0,1,0,0,2015.0,H1,29409916,126.0,7774695.0,8349869.0,47.0,79.0,126.0,284194,328487,250103,5444939,0
17974,2020,H1,auxiliares del transporte,28695691,276438,0,0,0,0,0,0,0,0,1,1,0,1,0,0,1,0,0,2010.0,H1,34136517,40.0,1200402.0,1414424.0,3.0,40.0,43.0,392812,40542,0,0,0
14253,2020,H1,auxiliares del transporte,22632157,264000,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,2008.0,H1,26780410,151.0,4584836.0,5330702.0,268.0,140.0,408.0,214836,662787,3303,20113,0
13349,2020,H1,auxiliares del transporte,10181803,263894,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1992.0,H1,11659801,71.0,1837696.0,2129596.0,8.0,65.0,73.0,124573,128073,2257,30215,0
14683,2020,H1,auxiliares del transporte,23400253,248328,1,0,0,0,1,0,0,0,0,1,0,1,1,0,0,0,0,1993.0,H1,69401058,73.0,3188718.0,3990964.0,26.0,47.0,73.0,582758,960532,148031,1269813,0
19789,2020,H1,auxiliares del transporte,14241843,221246,1,0,0,1,1,0,0,0,1,1,0,1,1,0,1,0,0,2014.0,H1,26746695,40.0,1683290.0,1896586.0,15.0,25.0,40.0,316199,258281,608,32082,128
19708,2020,H1,auxiliares del transporte,2399064,200000,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,2017.0,H1,5462960,25.0,974627.0,994371.0,4.0,21.0,25.0,53451,0,6605,37640,0
10429,2020,H1,auxiliares del transporte,51937915,179079,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1965.0,H1,51150307,404.0,22503217.0,24369540.0,214.0,245.0,459.0,560739,1161944,203976,3677908,220709
13233,2020,H1,auxiliares del transporte,67401151,147975,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,2006.0,H1,69137166,479.0,15329726.0,15714585.0,146.0,333.0,479.0,622745,6043279,16622,166569,0
11491,2020,H1,auxiliares del transporte,33325312,135238,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,1989.0,H1,27133647,375.0,6673136.0,7591170.0,170.0,409.0,579.0,332474,4942,143942,393642,0
18282,2020,H1,auxiliares del transporte,32290560,131351,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,2019.0,H1,40579595,185.0,13713450.0,14909386.0,36.0,165.0,201.0,99155,1297934,0,3361772,6368
14582,2020,H1,auxiliares del transporte,89187830,116882,0,1,0,0,0,0,0,0,1,1,0,1,1,1,1,0,1,1992.0,H1,197015512,377.0,25663558.0,28693873.0,183.0,217.0,400.0,1797124,86652,45613,2773989,180
14228,2020,H1,auxiliares del transporte,106354880,112000,1,1,1,1,1,0,0,0,1,1,1,1,1,0,1,0,0,2008.0,H1,139574991,400.0,20377004.0,20438336.0,146.0,254.0,400.0,1924874,15643,794916,4818963,5363
18385,2020,H1,auxiliares del transporte,75787203,100511,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,2015.0,H1,85571716,952.0,28025604.0,32011385.0,105.0,1227.0,1332.0,351079,658,450,15102,0
11830,2020,H1,auxiliares del transporte,18813821,99849,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,1981.0,H1,21358028,200.0,6171791.0,6837179.0,80.0,120.0,200.0,229033,150441,69639,350866,0
10430,2020,H1,auxiliares del transporte,57321514,98000,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1967.0,H1,71747576,531.0,22636429.0,23551637.0,384.0,441.0,825.0,672048,1234633,126142,906535,0
10423,2020,H1,auxiliares del transporte,11151062,96487,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1993.0,H1,34264085,90.0,2685778.0,3022763.0,33.0,57.0,90.0,129829,45542,55613,218783,0
10506,2020,H1,auxiliares del transporte,16511075,96320,1,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,1959.0,H1,19195093,170.0,4693800.0,5540672.0,66.0,104.0,170.0,224561,3607,15675,48612,0
18044,2020,H1,auxiliares del transporte,5044727,89523,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,2002.0,H1,5869685,75.0,1664515.0,1763647.0,17.0,58.0,75.0,41309,42026,7011,37068,0
15088,2020,H1,auxiliares del transporte,2882064,70000,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1992.0,H1,2706425,86.0,1531933.0,1692966.0,10.0,76.0,86.0,35825,149968,1892,28108,0
10494,2020,H1,auxiliares del transporte,41943924,69850,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,1995.0,H1,108996034,724.0,26241358.0,27568610.0,150.0,587.0,737.0,930134,7530,31829,468721,20
12429,2020,H1,auxiliares del transporte,31812053,67699,0,0,0,0,0,0,0,0,1,1,1,1,1,0,1,0,0,2008.0,H1,18811799,499.0,16804672.0,17605241.0,274.0,225.0,499.0,575513,3637334,91743,1052566,0
10439,2020,H1,auxiliares del transporte,36783831,65246,0,0,0,0,0,0,0,0,1,1,0,1,0,0,1,1,0,1980.0,H1,29726769,204.0,11245142.0,11575016.0,104.0,155.0,259.0,348191,189351,2017,27928,0
10444,2020,H1,auxiliares del transporte,45154156,62604,0,1,0,1,0,0,0,0,0,1,0,1,0,0,1,0,0,1985.0,H1,50013424,1767.0,27307892.0,28341575.0,1753.0,610.0,2363.0,360536,2043,2361,6719,0
13878,2020,H1,auxiliares del transporte,14317945,62400,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1938.0,H1,18142432,350.0,11843266.0,13100112.0,141.0,209.0,350.0,195580,145868,4683,50244,0
18393,2020,H1,auxiliares del transporte,2754888,62400,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,2001.0,H1,3015870,31.0,1409942.0,1534840.0,14.0,17.0,31.0,28342,29813,1151,9662,0
18989,2020,H1,auxiliares del transporte,7822056,59011,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,2010.0,H1,18525534,81.0,2077487.0,2266161.0,15.0,75.0,90.0,163295,189679,27362,1723,0
10433,2020,H1,auxiliares del transporte,11406978,59007,0,1,0,1,0,0,0,0,0,1,0,1,0,1,1,0,0,1979.0,H1,19966695,55.0,1683667.0,1724893.0,24.0,55.0,79.0,288865,593134,19446,204225,1503
15181,2020,H1,auxiliares del transporte,2338825,55080,1,1,1,1,1,1,0,0,1,1,1,1,1,1,1,0,0,1996.0,H1,3034869,28.0,706442.0,850181.0,9.0,19.0,28.0,16589,4029,2133,28475,0
19920,2020,H1,auxiliares del transporte,90273866,50500,1,1,1,1,0,0,0,0,1,1,0,1,0,0,1,0,0,1998.0,H1,94461472,903.0,26816191.0,28362572.0,150.0,755.0,905.0,379517,57708,85667,533161,0
11902,2020,H1,auxiliares del transporte,4583460,50003,0,0,0,0,0,0,0,0,0,1,0,1,0,1,1,0,1,2008.0,H1,8823201,27.0,1046924.0,1046924.0,19.0,20.0,39.0,86167,49491,74282,336156,0
10018,2020,H1,auxiliares del transporte,4564960,44310,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2002.0,H1,8752074,9.0,608070.0,626749.0,4.0,6.0,10.0,108583,0,2061,47885,0
14445,2020,H1,auxiliares del transporte,4497156,43637,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1973.0,H1,4451708,81.0,2469236.0,2537115.0,36.0,49.0,85.0,54398,57487,104508,57339,38
18036,2020,H1,auxiliares del transporte,3111407,42270,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,2000.0,H1,3179915,105.0,1968041.0,2208229.0,42.0,63.0,105.0,102156,110505,3684,20555,0
14601,2020,H1,auxiliares del transporte,23820302,42000,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1984.0,H1,24004099,66.0,5517656.0,5517656.0,12.0,54.0,66.0,6978,11020,2037,22665,0
18438,2020,H1,auxiliares del transporte,20860757,40000,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1998.0,H1,28924735,417.0,11546686.0,11908526.0,43.0,374.0,417.0,45159,1435003,1580,7117,0
13854,2020,H1,auxiliares del transporte,50981158,38719,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,1,1991.0,H1,42568043,1576.0,27739256.0,34851511.0,462.0,1114.0,1576.0,351177,278374,62724,180507,0
13041,2020,H1,auxiliares del transporte,9758752,37793,1,0,0,0,0,0,1,1,1,0,0,1,0,0,1,0,1,2011.0,H1,7542587,15.0,2381446.0,3105050.0,2.0,13.0,15.0,87908,39008,10375,361777,0
10213,2020,H1,auxiliares del transporte,17410596,36632,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,2011.0,H1,22552420,32.0,997936.0,1053333.0,17.0,36.0,53.0,150056,4504,23791,294511,210239
18007,2020,H1,auxiliares del transporte,102144199,30849,0,1,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,2009.0,H1,89501146,398.0,18967856.0,19737066.0,41.0,394.0,435.0,584046,23300,27254,70193,0
14988,2020,H1,auxiliares del transporte,1975370,30121,0,0,0,0,0,0,0,0,0,1,0,1,0,1,1,0,0,1994.0,H1,2086742,51.0,1294858.0,1332721.0,26.0,25.0,51.0,13775,63005,28619,107195,0
18469,2020,H1,auxiliares del transporte,2885235,29782,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2004.0,H1,3269044,21.0,795409.0,818951.0,9.0,12.0,21.0,31858,150095,5301,84580,498
10409,2020,H1,auxiliares del transporte,49713995,29319,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,1,0,1999.0,H1,53936617,233.0,8063076.0,8250500.0,309.0,515.0,824.0,584680,944447,127773,1105148,0
13581,2020,H1,auxiliares del transporte,18675580,27834,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,1,2008.0,H1,22074111,572.0,12105912.0,12666361.0,179.0,393.0,572.0,221038,142062,27716,202939,0
10500,2020,H1,auxiliares del transporte,36949528,25000,0,1,0,1,0,0,0,1,0,1,0,1,0,0,0,0,0,2001.0,H1,38763931,159.0,10346030.0,10433090.0,66.0,102.0,168.0,431582,5,20871,248198,0
10450,2020,H1,auxiliares del transporte,21591091,24948,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1974.0,H1,24619158,126.0,7680687.0,7826748.0,72.0,54.0,126.0,264369,1346996,8660,72650,0
18534,2020,H1,auxiliares del transporte,12002388,24395,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,2004.0,H1,13969045,109.0,8052289.0,8063330.0,14.0,96.0,110.0,3566,33554,1520,5467,0
14584,2020,H1,auxiliares del transporte,15759174,22840,0,0,0,0,1,1,0,0,0,0,0,1,0,1,1,0,0,1995.0,H1,17805677,418.0,10107222.0,10835517.0,25.0,393.0,418.0,72897,122906,2419,46047,0
18920,2020,H1,auxiliares del transporte,108282014,22809,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2020.0,H1,100609463,353.0,12370584.0,12595152.0,208.0,645.0,853.0,218976,601344,54414,544609,0
10187,2020,H1,auxiliares del transporte,10902915,22000,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,2008.0,H1,14522436,411.0,6537928.0,8035938.0,31.0,383.0,414.0,139060,108678,6687,54175,0
15725,2020,H1,auxiliares del transporte,2712931,21709,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2011.0,H1,3049383,61.0,1189898.0,1291005.0,3.0,58.0,61.0,29851,297780,0,0,0
11901,2020,H1,auxiliares del transporte,73732579,21430,0,1,0,1,0,1,0,1,0,1,0,1,0,1,1,0,1,2008.0,H1,93502074,413.0,11038640.0,11403938.0,400.0,718.0,1118.0,584924,503021,36489,203972,76
10516,2020,H1,auxiliares del transporte,12506980,20000,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,1987.0,H1,13259734,272.0,7880403.0,9661706.0,156.0,119.0,275.0,151169,72404,14103,127633,0
15075,2020,H1,auxiliares del transporte,16888874,19845,0,0,0,0,0,0,0,0,1,0,0,1,1,1,0,0,0,2000.0,H1,19469474,81.0,4028317.0,4075698.0,9.0,72.0,81.0,240065,1036736,3227,80845,0
14617,2020,H1,auxiliares del transporte,10491132,19503,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1995.0,H1,10476996,240.0,8239894.0,8615767.0,11.0,229.0,240.0,103587,56149,1771,14290,0
18323,2020,H1,auxiliares del transporte,7383972,18978,0,0,0,0,0,0,0,0,1,1,0,1,0,0,1,0,0,2000.0,H1,9517961,92.0,3193273.0,3717577.0,8.0,84.0,92.0,109783,70052,0,0,0
18691,2020,H1,auxiliares del transporte,5144603,17905,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,2010.0,H1,5937894,41.0,1274066.0,1335007.0,25.0,40.0,65.0,51054,75323,14904,54825,0
13559,2020,H1,auxiliares del transporte,7527596,17714,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,1,1999.0,H1,11634208,282.0,5725107.0,5957256.0,94.0,189.0,283.0,52331,91093,4701,47012,0
18031,2020,H1,auxiliares del transporte,7129956,17513,1,0,0,0,0,0,1,0,1,0,0,1,0,0,1,0,1,2013.0,H1,9071190,109.0,5565297.0,5933972.0,47.0,62.0,109.0,103863,50805,18596,72496,0
