id_empresa,periodo,id_sector,sector_desc,gastos_totales,gasto_gestion_amb,contrata_personal_amb,realiza_inv_red_emision_aire,realiza_inv_ahorro_agua,realiza_inv_inst_med_agua,realiza_inv_disp_desechos,realiza_inv_protec_suelo,realiza_inv_evita_ruido_vibra,realiza_inv_energia_limp,realiza_otras_inv_amb,realiza_gasto_red_emision_aire,realiza_gasto_ahorro_agua,realiza_gasto_inst_med_agua,realiza_gasto_disp_desechos,realiza_gasto_protec_suelo,realiza_gasto_evita_ruido_vibra,realiza_gasto_terceros_amb,realiza_gasto_energia_limp,realiza_otros_gastos_amb,anio_inicio,id_sector_general,total_ingresos,personal_remunerado,gasto_remuneracion_personal,gasto_personal_total,personal_mujeres,personal_hombres,personal_ocupado,imp_ind_com,imp_otros,gasto_servicios_publicos,gasto_energia_electrica,gasto_gas_natural
10430,2022,H1,auxiliares del transporte,47609563,293768,1,0,0,1,1,1,0,0,0,0,0,0,1,0,0,1,0,0,1967,H1,76580960.0,508.0,24034063,25753293,381.0,436.0,817.0,754774,1818584,286805,1071342,0
10429,2022,H1,auxiliares del transporte,47609563,293768,0,0,0,1,0,1,0,0,1,1,1,0,1,0,1,1,0,1,1965,H1,61806813.0,468.0,29445538,30774485,263.0,255.0,518.0,733848,1431522,231696,4570711,557029
18513,2022,H1,auxiliares del transporte,47609563,293768,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1998,H1,19713224.0,59.0,2606974,2863189,13.0,46.0,59.0,300067,7571,50999,253701,859855
13853,2022,H1,auxiliares del transporte,29336128,139752,0,0,0,0,0,0,0,0,0,1,0,0,1,1,1,1,0,0,1977,H1,34093207.0,121.0,7656619,9089487,82.0,124.0,206.0,167995,856917,387510,1340117,28114
15179,2022,H1,auxiliares del transporte,29336128,139752,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,1987,H1,6141279.0,62.0,2916306,3008269,21.0,41.0,62.0,18689,183846,28871,252173,0
10439,2022,H1,auxiliares del transporte,29336128,139752,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,1979,H1,39408312.0,197.0,11958340,12977816,83.0,114.0,197.0,465810,374272,2174,25048,0
14582,2022,H1,auxiliares del transporte,128199754,1954883,1,0,0,0,0,0,0,0,0,1,1,1,1,1,0,1,0,0,1992,H1,290596416.0,361.0,28179070,32044976,156.0,216.0,372.0,3396050,9586673,56292,4303803,38
12366,2022,H1,auxiliares del transporte,128199754,1954883,1,0,0,0,0,0,0,0,0,1,1,0,1,1,0,1,0,1,2013,H1,115785880.0,31.0,3309418,4245201,4.0,37.0,41.0,1209116,7454587,0,4733000,0
10017,2022,H1,auxiliares del transporte,128199754,1954883,1,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,0,0,1992,H1,240525654.0,429.0,26407501,32592860,157.0,414.0,571.0,1429887,390450,812665,3166421,0
14588,2022,H1,auxiliares del transporte,442733489,1339411,0,0,0,0,0,0,0,0,0,1,1,0,1,1,0,0,0,0,1996,H1,256300400.0,133.0,9684965,11989023,133.0,0.0,133.0,2542541,752875,915813,5232809,3491
